GROUPNAME,,Rule ID,Level,SID,PCRE2,DESCRIPTION,GROUP,,
windows,mse,7701,0,windows,18101,18102,18103, ^Microsoft Antimalware, Grouping of Microsoft Security Essentials rules.]
,,7710,12,7701, ^1118$|^1119$, virus, Microsoft Security Essentials - Virus detected, but unable to remove.],
,,7711,7,7701, ^1107$, virus, Microsoft Security Essentials - Virus detected and properly removed.],,
,,7712,7,7701, ^1119$|^1118$|^1117$|^1116$, virus, Microsoft Security Essentials - Virus detected.],,
,,7713,7,7701, ^1015$, virus, Microsoft Security Essentials - Suspicious activity detected.],,
,,7720,3,7701, ^5007$, Microsoft Security Essentials - Configuration changed., policy_changed,,
,,7721,9,7701, ^5008$, Microsoft Security Essentials - Service failed.],,,
,,7722,9,7701, ^3002$, Microsoft Security Essentials - Real time protection failed.],,,
,,7723,8,7701, ^2012$, Microsoft Security Essentials - Cannot use Dynamic Signature Service.],,,
,,7724,8,7701, ^2004$, Microsoft Security Essentials - Loading definitions failed. Using last good set.],,,
,,7725,8,7701, ^2003$, Microsoft Security Essentials - Engine update failed.],,,
,,7726,8,7701, ^2001$, Microsoft Security Essentials - Definitions update failed.],,,
,,7727,7,7701, ^1005$, Microsoft Security Essentials - Scan error. Scan has stopped.],,,
,,7728,5,7701, ^1002$, Microsoft Security Essentials - Scan stopped before completion.],,,
,,7731,5,7711,7712, Virus:DOS/EICAR_Test_File, alert_by_email, Microsoft Security Essentials - EICAR test file detected.],
,,7750,10,7711, Multiple Microsoft Security Essentials AV warnings detected.],,,,
,,7751,10,7712, Multiple Microsoft Security Essentials AV warnings detected.],,,,
